SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_91 4 0 0 3 0 0 3 0 2 3 1 14 6 17 26 27 16 35 14 13 1 11 3
OTU_92 8 4 2 14 6 2 55 21 2 5 9 33 15 22 44 73 53 86 63 61 23 56 23
OTU_93 0 1 2 8 0 0 14 8 5 1 1 9 4 12 5 12 24 11 10 2 1 7 0
OTU_94 2 2 1 9 1 0 3 2 1 0 2 28 16 22 31 6 0 9 0 1 0 10 10
OTU_95 26 28 26 144 8 2 19 10 2 6 6 19 5 7 8 11 19 2 9 7 3 14 3
OTU_96 3 0 0 6 0 3 32 12 3 2 0 2 1 2 2 63 24 13 26 22 3 7 2
OTU_97 0 0 0 1 0 1 1 1 1 0 3 5 5 6 10 5 9 11 7 23 10 26 16
OTU_98 3 1 1 12 2 0 19 11 3 1 4 12 5 7 7 19 44 12 31 4 2 5 0
OTU_99 1 0 0 1 0 0 1 1 0 3 1 20 4 11 23 19 8 15 10 1 1 7 2
OTU_100 27 2 0 11 2 0 5 5 4 4 3 80 27 37 61 17 22 85 44 54 43 51 24
OTU_101 6 1 3 20 1 4 31 23 4 12 3 1 2 0 5 4 26 18 20 49 18 44 6
OTU_102 6 22 17 89 20 5 41 30 4 15 24 2 0 1 5 3 8 1 3 14 2 10 8
OTU_103 2 1 1 8 4 0 9 2 111 142 69 2 1 3 2 2 2 2 3 11 3 6 4
OTU_104 21 0 1 8 2 3 17 10 2 1 2 27 10 14 30 59 13 23 14 14 8 21 8
OTU_105 13 1 2 7 1 1 7 1 2 2 2 29 11 12 17 38 21 117 49 58 6 33 14
OTU_106 4 2 1 9 4 1 16 11 2 4 2 7 1 4 7 9 16 9 18 89 19 98 31
OTU_107 1 0 0 1 0 0 0 1 1 2 0 41 10 29 52 5 2 3 3 0 1 0 1
OTU_108 6 0 0 5 4 0 3 2 4 5 2 50 19 23 50 20 11 23 11 11 6 20 6
OTU_109 9 3 6 18 4 9 11 9 8 24 11 9 9 6 7 12 11 3 3 8 1 13 4
OTU_110 14 0 1 1 1 0 0 4 2 1 2 32 12 26 32 30 11 45 18 21 5 20 12
OTU_111 5 10 9 29 16 13 64 66 2 9 9 3 0 4 4 4 5 3 3 17 1 17 6
OTU_112 6 0 1 7 0 1 24 8 0 0 0 10 4 4 9 3 14 3 3 32 5 31 4
OTU_113 28 3 3 41 17 1 11 24 3 7 16 2 1 2 2 3 1 2 3 2 0 3 1
OTU_114 14 1 4 14 3 0 6 8 1 5 6 24 7 22 25 18 32 37 36 39 20 53 19
OTU_115 9 0 0 1 0 0 0 2 0 1 0 20 4 21 29 0 2 1 1 0 0 1 0
OTU_116 2 10 4 25 6 8 13 12 149 98 226 2 0 4 5 1 0 4 1 2 0 3 2
OTU_117 3 9 9 30 6 2 40 16 1 6 2 9 4 2 5 3 6 6 2 2 1 3 2
OTU_118 3 11 5 14 6 3 29 19 2 2 1 2 1 4 6 5 4 6 7 1 0 15 2
OTU_119 6 0 0 16 1 2 5 1 2 4 2 30 7 15 34 1 64 34 61 27 9 60 22
OTU_120 3 9 9 30 1 7 15 13 60 139 99 0 0 2 2 1 4 6 6 14 7 3 1
OTU_121 0 0 0 2 0 0 2 0 1 2 0 36 25 22 38 48 2 23 6 1 2 14 4
OTU_122 6 5 3 11 3 1 22 9 1 5 4 16 8 7 8 15 29 28 17 54 21 13 6
OTU_123 5 6 4 18 3 0 20 8 109 123 158 5 3 7 4 3 3 2 3 11 6 11 7
OTU_124 0 0 2 1 0 0 2 2 142 115 137 0 0 1 1 0 1 3 2 1 0 3 1
OTU_125 3 0 0 5 1 1 1 1 0 1 1 6 2 1 6 3 1 4 4 1 1 4 1
OTU_126 1 0 0 0 5 4 38 35 2 2 2 8 5 5 3 44 26 21 12 0 0 2 0
OTU_127 9 5 13 33 1 2 17 7 2 2 0 2 1 1 0 3 2 7 3 14 1 24 6
OTU_128 9 2 0 3 2 1 10 6 3 2 4 78 21 22 29 4 2 4 9 33 14 21 13
OTU_129 2 1 1 5 1 0 16 11 2 4 2 18 8 12 7 56 13 29 12 2 3 5 5
OTU_130 1 1 1 3 1 0 10 6 4 6 4 19 5 5 11 23 29 23 20 57 22 39 32
OTU_131 3 1 4 7 2 2 12 5 1 0 0 13 5 5 14 2 20 62 13 10 5 8 4
OTU_132 11 0 0 0 0 0 5 1 1 0 2 32 9 21 29 8 5 8 3 1 1 9 9
OTU_133 1 6 5 19 1 4 35 9 36 59 95 1 0 1 1 0 2 2 4 2 2 4 1
OTU_134 10 2 1 14 1 1 5 2 2 3 2 11 7 9 11 15 9 17 5 32 10 30 17
OTU_135 1 0 1 0 0 0 1 0 101 29 66 1 1 0 1 0 0 3 0 0 2 2 1
OTU_136 1 10 14 34 4 2 5 23 1 1 2 1 0 2 5 1 14 5 1 40 27 79 47
OTU_137 16 6 0 8 0 0 5 1 2 6 7 25 12 25 29 19 6 2 6 7 9 5 4
OTU_138 2 1 1 6 1 0 3 3 5 1 0 17 8 10 10 23 9 29 17 30 18 15 6
OTU_139 9 1 2 7 1 1 10 8 4 1 0 9 2 3 4 17 15 29 19 13 10 22 9
OTU_140 35 4 8 19 5 7 42 34 4 9 9 73 28 30 50 28 26 43 23 22 11 19 15
