SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_94 0 0 0 1 0 0 0 0 17 75 52 1 0 0 0 0 0 0 0 1 0 1 0
OTU_95 23 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_96 0 1 0 1 0 0 0 0 0 0 0 139 1 13 1 1 1 0 1 0 1 0 1
OTU_97 0 0 0 0 0 0 0 1 17 22 1 0 0 0 0 0 0 0 1 0 0 1 0
OTU_98 0 0 0 0 26 8 24 4 1 0 1 0 0 1 0 0 0 1 1 1 2 61 13
OTU_99 0 0 1 0 1 0 0 0 1 92 1 0 0 0 0 0 1 1 0 0 0 0 0
OTU_100 0 1 0 1 1 0 0 2 0 1 2 17 10 5 13 0 0 5 0 7 2 2 0
OTU_101 0 18 11 25 9 11 18 8 0 1 0 0 0 0 1 0 1 0 1 1 6 1 0
OTU_102 1 23 23 19 15 16 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0
OTU_103 6 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
OTU_104 0 0 0 0 1 1 0 0 0 0 2 12 0 0 2 6 0 0 1 3 0 0 0
OTU_105 1 1 0 3 0 0 0 0 1 0 0 24 5 5 2 5 1 2 1 5 8 5 1
OTU_106 0 0 0 0 1 0 0 0 2 2 94 0 0 0 0 0 0 1 1 0 0 1 0
OTU_107 0 0 0 0 0 0 0 6 0 0 0 1 0 1 0 0 0 0 45 0 1 0 1
OTU_108 4 17 7 20 5 1 2 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0
OTU_109 11 0 0 1 1 1 1 0 1 0 0 19 1 0 1 1 1 16 9 0 0 1 1
OTU_110 0 0 0 1 0 0 0 0 0 2 1 1 0 0 2 13 0 256 5 0 0 2 1
OTU_111 1 0 0 7 1 0 0 1 0 2 10 1 1 0 5 2 0 0 0 30 27 62 50
OTU_112 1 0 0 0 0 0 0 2 0 0 0 1 1 1 0 1 0 0 0 6 0 59 1
OTU_113 0 0 0 1 0 0 0 1 7 14 35 0 0 0 0 0 0 1 0 0 2 1 0
OTU_114 1 0 0 0 1 0 0 0 0 0 0 10 5 7 14 10 14 5 5 1 0 0 1
OTU_116 0 2 3 5 1 0 1 0 2 1 1 0 0 1 0 0 0 2 7 41 8 34 1
OTU_118 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 222 0 0 1 1 1 0
OTU_119 29 0 2 0 0 0 0 1 0 0 0 9 8 14 15 5 0 6 18 2 0 0 1
OTU_120 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 66 0
OTU_121 0 0 0 0 0 1 1 0 1 1 0 8 1 18 7 1 0 0 0 0 0 1 0
OTU_122 0 0 0 0 0 0 0 0 28 8 26 0 0 0 0 0 0 1 1 0 0 0 0
OTU_123 0 0 1 1 0 0 0 0 0 0 0 0 0 12 1 0 0 2 0 8 10 2 7
OTU_124 1 0 2 5 0 0 0 0 0 2 2 7 1 4 7 1 0 2 2 17 12 16 5
OTU_125 0 1 0 1 0 0 2 0 0 0 1 1 0 0 2 5 3 1 1 6 12 43 1
OTU_126 1 1 1 1 0 0 0 1 0 0 0 3 6 15 1 0 0 2 0 0 0 0 1
OTU_127 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 83 0 0 0
OTU_128 24 0 0 0 0 0 0 1 0 0 0 3 2 4 4 1 0 1 1 0 0 0 1
OTU_129 0 0 0 1 1 0 0 0 0 0 0 7 0 5 18 0 0 0 0 0 0 2 0
OTU_130 3 3 2 1 0 0 0 1 0 1 0 11 8 4 16 0 0 0 0 0 0 0 0
OTU_131 3 5 8 7 10 11 18 13 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0
OTU_132 1 0 0 0 1 0 0 1 1 0 0 11 0 2 1 4 0 2 0 0 0 2 0
OTU_133 0 0 0 1 0 0 0 0 2 0 35 0 0 0 0 0 0 0 0 0 0 0 0
OTU_134 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 4 103 21 8 0 0 0 0
OTU_135 0 0 0 2 3 0 5 0 0 0 0 3 2 0 4 3 1 5 5 17 7 17 5
OTU_136 0 0 0 0 0 0 0 0 1 0 1 3 11 0 2 0 10 5 6 0 0 0 1
OTU_137 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 10 5 20 2
OTU_138 0 0 0 0 1 0 0 1 0 0 1 11 5 8 28 1 0 1 0 0 0 0 1
OTU_139 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 16 30 1 0
OTU_140 0 0 0 1 0 0 0 0 0 1 0 3 0 1 0 2 33 14 12 0 0 0 0
OTU_141 13 13 14 18 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0
OTU_142 2 2 1 5 0 0 0 1 0 0 0 1 1 1 5 0 3 1 2 8 10 13 2
OTU_143 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 16 55 0 0
OTU_144 0 0 0 0 0 0 0 1 3 14 19 0 0 0 0 0 0 0 0 0 0 1 1
OTU_145 3 0 0 0 1 0 0 0 0 0 1 9 6 20 2 0 0 0 0 0 0 0 0
OTU_146 9 1 0 1 2 0 0 0 0 1 1 7 2 2 1 1 11 0 4 0 0 1 0
OTU_147 8 3 2 1 0 0 0 0 0 0 1 3 1 8 4 0 0 1 1 0 1 1 0
OTU_148 0 0 0 0 0 0 0 1 0 0 0 20 0 8 13 1 0 0 0 1 0 0 0
OTU_149 4 0 0 0 1 8 27 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
OTU_150 0 0 0 1 1 0 0 2 0 0 0 10 3 10 20 0 1 20 0 6 8 5 1
OTU_151 3 0 1 0 0 0 0 0 0 1 0 0 2 1 19 0 0 0 0 0 0 2 0
OTU_152 0 0 0 0 1 0 0 0 1 0 0 2 19 7 6 0 0 0 0 1 0 0 0
OTU_153 23 4 7 3 0 1 2 0 1 0 0 0 0 1 0 0 1 11 2 0 0 3 0
OTU_154 28 3 7 3 0 0 0 1 0 0 0 0 0 0 2 0 1 1 2 2 2 0 0
OTU_156 0 0 0 0 0 0 0 0 22 0 22 0 0 0 0 0 0 0 0 0 0 0 0
OTU_157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 24 1 0
OTU_158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 15
OTU_159 0 0 0 1 0 1 0 0 0 1 1 1 0 0 2 35 2 5 3 1 0 0 0
OTU_161 16 2 3 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0
OTU_162 2 0 0 0 0 0 0 0 1 0 0 5 1 5 8 0 1 0 0 1 0 1 0
OTU_163 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 0 1 0 0 1 1 60 2
OTU_164 3 1 0 1 4 1 3 1 0 2 2 1 0 5 3 2 0 1 0 3 1 3 3
OTU_165 6 1 1 7 0 2 4 1 0 0 0 2 1 2 7 21 15 1 5 7 12 7 7
