SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_970 0 3 1 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_975 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_976 0 3 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_977 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_979 0 0 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_980 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
OTU_981 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_982 0 0 4 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_983 0 0 0 0 0 0 0 0 4 0 9 0 0 0 1 0 0 0 0 0 0 0 0
OTU_987 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_988 0 1 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_989 0 5 3 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
OTU_990 0 0 0 0 4 0 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
OTU_991 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1002 3 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
OTU_1003 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0
OTU_1004 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
OTU_1006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 11 3 0
OTU_1011 0 0 0 0 0 0 0 0 0 0 0 1 3 1 1 0 1 0 0 0 0 0 0
OTU_1019 2 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0
OTU_1020 0 0 0 0 0 0 0 0 0 0 0 5 0 7 5 0 0 0 0 1 0 0 0
OTU_1021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0
OTU_1022 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 7 0 0 0 0 0 0 0
OTU_1023 0 0 0 0 0 0 0 0 0 0 0 0 4 0 7 0 0 0 0 0 0 0 0
OTU_1025 0 0 0 1 0 0 0 0 0 0 0 2 2 0 3 0 0 0 0 0 0 0 0
OTU_1026 0 0 0 0 0 0 0 0 0 0 0 1 0 0 8 0 0 1 0 0 0 0 0
OTU_1027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 2 0 0 0 0 0
OTU_1028 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 1 0 1
OTU_1029 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 6 23 2 1
OTU_1030 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6 0 0 0 0 0
OTU_1032 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 9 0 0 0 0
OTU_1036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 0
OTU_1037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 4 1
OTU_1042 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 9 0 0 0 0 0 0 0
OTU_1048 0 3 3 5 1 1 2 0 0 1 0 0 0 1 0 0 2 0 0 0 2 1 0
OTU_1052 0 0 0 0 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1056 0 0 2 8 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_1058 0 1 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1060 0 6 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
OTU_1062 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1063 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1064 0 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1065 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_1067 0 0 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_1068 0 1 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1069 0 0 0 6 0 2 5 7 0 0 0 0 0 0 0 7 0 0 1 1 0 0 0
OTU_1070 0 1 1 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1071 0 0 0 0 0 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1072 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1078 0 1 0 4 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1079 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1085 1 0 0 4 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_1086 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 0 0 0 0 0 0 0 0
OTU_1088 0 0 0 0 0 0 0 0 0 0 0 3 1 4 0 2 0 1 0 0 0 0 0
OTU_1090 0 0 0 0 0 0 0 0 0 0 0 2 6 1 1 0 0 0 0 0 0 0 0
OTU_1092 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0
OTU_1093 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 12 0 0 0
OTU_1096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 1 1 2 1 0
OTU_1098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7 1 7 1
OTU_1101 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 4 0 0 0 0 0 0 0
OTU_1102 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 0 0 0 0 0
OTU_1103 0 0 0 0 0 0 0 0 0 0 0 4 1 0 1 0 0 0 0 0 0 1 0
OTU_1105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 8 0 0 0 0 0
OTU_1108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 2 0 3
OTU_1112 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 2
OTU_1115 0 0 0 0 0 0 0 1 0 0 0 1 0 3 12 0 0 0 0 0 0 0 0
OTU_1117 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0
OTU_1120 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 5 1 0 0 0 0
OTU_1121 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0
OTU_1122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0
OTU_1123 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 4 0 0 0 0
OTU_1125 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 2 5 0 0
OTU_1128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 9 0 0
OTU_1129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
OTU_1133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
OTU_1137 0 0 0 0 0 0 2 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0
OTU_1138 0 0 0 1 0 0 0 0 0 0 0 0 1 5 1 0 1 0 0 0 0 0 0
OTU_1139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 10 0 0 0 0 0
OTU_1141 0 0 0 0 1 0 0 0 0 0 0 2 0 1 4 0 0 0 0 0 0 0 0
OTU_1142 0 0 0 9 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_1146 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 12 4 2
OTU_1147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 2 1 0
OTU_1150 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 1 0
OTU_1151 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
OTU_1160 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
OTU_1164 1 0 1 4 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_1167 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
OTU_1168 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1169 0 2 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_1173 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 8 0 0 0 0 1 0
OTU_1178 0 4 4 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1180 1 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0
OTU_1181 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1182 0 0 0 2 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1183 0 2 0 2 0 1 7 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
OTU_1184 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1186 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1187 0 0 0 6 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1188 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1193 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1195 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1198 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0
OTU_1201 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1202 0 0 0 0 2 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1205 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 2 1 0
OTU_1212 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 2 2 0 0 0 0 0
OTU_1216 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 4 0 0 1 0
OTU_1218 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 2 5 0 0 0 0
OTU_1219 0 0 0 0 0 0 0 0 0 0 0 2 1 1 2 0 1 0 0 0 0 1 0
OTU_1221 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 2 0 4 0 0 0
OTU_1232 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0
OTU_1236 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
OTU_1237 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0
OTU_1244 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
OTU_1246 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 3 0 0 0 0 0 0
OTU_1248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 5 0 0 0 0 0
OTU_1249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0
OTU_1250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 4 0 1
OTU_1251 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0
OTU_1253 1 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_1255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 0 0
OTU_1257 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0
OTU_1260 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3
OTU_1263 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0
OTU_1265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 1 0 1 0
OTU_1272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0
OTU_1274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 1 0 0
OTU_1277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0
OTU_1282 2 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1283 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1285 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1286 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0
OTU_1291 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1301 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1304 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1308 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1309 0 0 0 0 0 0 0 0 0 12 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_1312 0 1 2 0 4 2 2 2 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
OTU_1313 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1314 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
OTU_1315 1 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1316 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1320 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1322 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1323 1 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1324 0 2 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1325 0 1 0 1 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1327 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
OTU_1328 0 0 0 0 0 0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1336 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1337 0 6 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1338 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1347 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1363 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1381 0 0 0 0 0 0 0 0 0 0 0 2 1 2 4 0 0 0 0 0 0 0 0
OTU_1382 2 0 0 0 0 0 0 0 0 0 0 3 1 3 5 8 3 1 4 0 0 0 0
OTU_1386 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
OTU_1389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 1 0
OTU_1393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 0 0 0
OTU_1401 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
OTU_1408 2 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0
OTU_1410 0 0 0 0 0 0 0 0 0 0 0 0 0 1 13 0 0 0 0 0 0 0 0
OTU_1416 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 3 0 2 0 0 0 0
OTU_1424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
OTU_1429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 2
OTU_1432 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 4 0 0
OTU_1437 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 0 0 0 0 0 0 0
OTU_1469 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1476 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1477 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1485 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1486 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
OTU_1487 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0
OTU_1489 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1490 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1491 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1492 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1493 0 3 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
OTU_1494 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_1497 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1501 0 0 0 0 1 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1505 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0
OTU_1512 0 0 0 2 0 0 0 1 0 0 0 0 0 2 2 2 0 0 2 0 0 0 0
OTU_1513 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1519 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1536 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 0 0 0 0
OTU_1538 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
OTU_1550 0 0 0 0 0 0 0 0 0 0 0 1 0 6 3 0 0 1 0 0 0 0 0
OTU_1565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0
OTU_1579 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 0 0 0 0 0 0 0 0
OTU_1581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0
OTU_1587 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0
OTU_1589 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
OTU_1590 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0
OTU_1592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0
OTU_1598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 1 0
OTU_1616 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
OTU_1620 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 0 0 0 1 0 0 0 0
OTU_1629 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0
OTU_1646 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OTU_1648 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1650 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1653 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1656 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1661 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
OTU_1670 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0
OTU_1686 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1699 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1711 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0
OTU_1713 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1716 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1717 0 0 0 11 2 1 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1722 0 1 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1723 1 1 0 0 4 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
OTU_1724 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1729 0 0 0 0 4 2 4 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
OTU_1730 0 0 0 0 1 2 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1731 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1732 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1736 0 1 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1754 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1762 0 1 0 1 0 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1765 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1766 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1788 7 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
OTU_1791 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1793 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 16 12 4 0
OTU_1800 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0
OTU_1816 1 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0
OTU_1820 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 0 0 0 0 0 1 0 0
OTU_1827 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 7 0 0 0 0 0 0 0
OTU_1855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0
OTU_1861 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
OTU_1863 0 0 0 0 0 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0
OTU_1870 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
OTU_1882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 3 0 0 0 0
OTU_1883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0
OTU_1894 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0
OTU_1899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0
OTU_1953 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1954 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1955 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
OTU_1958 1 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1961 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1964 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_1991 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
OTU_1993 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 0 0 0 0 0 0 0 0
OTU_1994 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 1 0
OTU_2012 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0
OTU_2027 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_2028 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_2030 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_2032 0 3 4 1 1 0 0 0 0 1 1 5 4 3 14 2 7 25 3 0 0 1 0
OTU_2039 0 0 1 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_2040 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
OTU_2044 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_2051 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
